doi,pub_date,num_files,num_bytes,total_downloads,num_relationships,subject
10.13012/B2IDB-2831687_V1,4/28/2021,2,11355619,74,1,Social Sciences
10.13012/B2IDB-0705058_V1,4/22/2021,6,25752,47,1,Life Sciences
10.13012/B2IDB-2273402_V1,4/22/2021,2,9020123611,57,0,Social Sciences
10.13012/B2IDB-2865725_V3,4/19/2021,1,67596,44,2,Life Sciences
10.13012/B2IDB-0299659_V1,4/18/2021,1,312443972,46,0,Physical Sciences
10.13012/B2IDB-3112432_V1,4/16/2021,1,570120,41,0,Life Sciences
10.13012/B2IDB-0988473_V1,4/15/2021,5,99809,93,3,Social Sciences
10.13012/B2IDB-2215727_V1,4/12/2021,2,56165584,44,0,Physical Sciences
10.13012/B2IDB-7008049_V1,4/11/2021,29,33963390532,208,0,Life Sciences
10.13012/B2IDB-3548139_V1,4/8/2021,10,53164510221,123,4,Life Sciences
10.13012/B2IDB-8255619_V1,4/6/2021,4,20509072,77,0,Social Sciences
10.13012/B2IDB-4350211_V1,4/6/2021,3,5023099973,56,0,Life Sciences
10.13012/B2IDB-5901636_V1,4/5/2021,2,19055375,55,0,Life Sciences
10.13012/B2IDB-8367769_V1,4/3/2021,8,11507818747,102,0,Physical Sciences
10.13012/B2IDB-1048258_V1,3/31/2021,1,3960605620,31,0,Life Sciences
10.13012/B2IDB-6565690_V1,3/23/2021,1,8730867961,302,1,Technology and Engineering
10.13012/B2IDB-2087785_V1,3/17/2021,23,118626,384,3,Social Sciences
10.13012/B2IDB-5609050_V1,3/15/2021,99,956321803,686,1,Life Sciences
10.13012/B2IDB-6582453_V1,3/14/2021,1,138427463,59,0,Social Sciences
10.13012/B2IDB-2694515_V1,3/10/2021,1,26493,40,0,Life Sciences
10.13012/B2IDB-4580996_V2,3/8/2021,11,314146,95,1,Life Sciences
10.13012/B2IDB-0946028_V2,3/8/2021,2,2279438,77,1,Life Sciences
10.13012/B2IDB-3289560_V1,3/6/2021,10,8.01E+11,2414,2,Technology and Engineering
10.13012/B2IDB-0388499_V1,3/5/2021,4,387195,61,0,Life Sciences
10.13012/B2IDB-8355786_V1,3/5/2021,3,13007,152,2,Life Sciences
10.13012/B2IDB-4580996_V1,3/2/2021,11,393737,68,1,Life Sciences
10.13012/B2IDB-0533274_V1,2/28/2021,3,8553261850,85,0,Physical Sciences
10.13012/B2IDB-5471143_V1,2/26/2021,4,900780,148,1,Life Sciences
10.13012/B2IDB-3388479_V1,2/25/2021,8,586622,188,0,Life Sciences
10.13012/B2IDB-3047783_V1,2/24/2021,5,2.37E+12,138,0,Physical Sciences
10.13012/B2IDB-9651987_V3,2/23/2021,4,1763525,1150,1,Social Sciences
10.13012/B2IDB-0286574_V1,2/18/2021,4,255882551,74,0,Physical Sciences
10.13012/B2IDB-5788371_V1,2/16/2021,2,6116961,56,1,Life Sciences
10.13012/B2IDB-1751983_V1,2/15/2021,1,201837,49,0,Life Sciences
10.13012/B2IDB-0897344_V1,2/10/2021,6,82044989623,89,1,Physical Sciences
10.13012/B2IDB-0060601_V1,2/1/2021,11,3085220667,90,0,Physical Sciences
10.13012/B2IDB-3968226_V3,1/27/2021,17,7595270548,288,3,Technology and Engineering
10.13012/B2IDB-7778154_V1,1/25/2021,5,15517,109,1,Life Sciences
10.13012/B2IDB-2418574_V1,1/23/2021,5,6427858751,101,0,Life Sciences
10.13012/B2IDB-9651987_V2,1/8/2021,4,1560404,446,1,Social Sciences
10.13012/B2IDB-4585244_V1,1/4/2021,28,7277975361,350,2,Physical Sciences
10.13012/B2IDB-6081616_V1,12/31/2020,9,297705078,119,1,Life Sciences
10.13012/B2IDB-8033264_V1,12/30/2020,25,1.63E+11,535,1,Life Sciences
10.13012/B2IDB-8724462_V1,12/29/2020,4,16698,70,0,Life Sciences
10.13012/B2IDB-5649852_V2,12/16/2020,6,18645512,268,0,Social Sciences
10.13012/B2IDB-6360821_V1,12/16/2020,3,597340496,120,0,Social Sciences
10.13012/B2IDB-2128492_V1,12/16/2020,3,594890968,126,0,Social Sciences
10.13012/B2IDB-7562109_V1,12/15/2020,3,11017817,156,0,Life Sciences
10.13012/B2IDB-4644759_V1,12/14/2020,2,34318,89,0,Life Sciences
10.13012/B2IDB-1999427_V1,12/12/2020,2,183101,98,3,Life Sciences
10.13012/B2IDB-1681718_V1,12/7/2020,15,85075235,182,0,Life Sciences
10.13012/B2IDB-4710255_V1,12/3/2020,1,13691,66,0,Life Sciences
10.13012/B2IDB-3074705_V1,12/2/2020,3,1164532025,86,1,Life Sciences
10.13012/B2IDB-9720784_V1,12/1/2020,1,24073,78,1,Life Sciences
10.13012/B2IDB-9209722_V1,11/25/2020,1,247459936,31,0,Life Sciences
10.13012/B2IDB-8161232_V1,11/20/2020,1,218236,84,0,Life Sciences
10.13012/B2IDB-6050723_V2,11/18/2020,1,499534,51,0,Life Sciences
10.13012/B2IDB-0791318_V2,11/18/2020,1,16344383,58,1,Physical Sciences
10.13012/B2IDB-9651987_V1,11/16/2020,4,1759217,562,1,Social Sciences
10.13012/B2IDB-6482573_V1,11/14/2020,5,151636,163,1,Life Sciences
10.13012/B2IDB-6667667_V1,11/6/2020,2,2187037216,38,2,Life Sciences
10.13012/B2IDB-6862941_V2,11/5/2020,34,7350584906,534,2,Life Sciences
10.13012/B2IDB-0887518_V1,11/1/2020,1,144117,94,1,Life Sciences
10.13012/B2IDB-9238850_V1,10/30/2020,1,74278,36,0,Life Sciences
10.13012/B2IDB-1591542_V1,10/28/2020,11,32645,217,1,Life Sciences
10.13012/B2IDB-3407079_V2,10/27/2020,1,62946,56,0,Life Sciences
10.13012/B2IDB-8212056_V2,10/27/2020,1,1816344,122,0,Life Sciences
10.13012/B2IDB-3285089_V2,10/27/2020,1,139871,33,0,Life Sciences
10.13012/B2IDB-7110302_V1,10/27/2020,1,17404,32,0,Physical Sciences
10.13012/B2IDB-2692533_V1,10/26/2020,6,3656009518,82,0,Life Sciences
10.13012/B2IDB-6773581_V2,10/26/2020,1,8073906,32,0,Life Sciences
10.13012/B2IDB-4623305_V2,10/26/2020,1,1961223,151,0,Life Sciences
10.13012/B2IDB-3968226_V2,10/24/2020,15,6702882722,162,3,Technology and Engineering
10.13012/B2IDB-9133967_V1,10/20/2020,19,61028835683,228,2,Life Sciences
10.13012/B2IDB-0684398_V1,10/16/2020,2,626615915,98,0,Life Sciences
10.13012/B2IDB-4272529_V1,10/15/2020,15,800991628,290,0,Life Sciences
10.13012/B2IDB-4045402_V1,10/14/2020,2,16365,89,0,Life Sciences
10.13012/B2IDB-0946771_V1,10/13/2020,2,121115,80,1,Arts and Humanities
10.13012/B2IDB-0454350_V1,10/11/2020,3,15407884,192,1,Social Sciences
10.13012/B2IDB-8972634_V1,10/1/2020,9,73288,197,0,Life Sciences
10.13012/B2IDB-0742378_V1,10/1/2020,1,3721802,111,1,Life Sciences
10.13012/B2IDB-3596430_V1,10/1/2020,7,19176633,218,1,Life Sciences
10.13012/B2IDB-2432396_V1,9/27/2020,1,16120,104,1,Life Sciences
10.13012/B2IDB-6834324_V1,9/27/2020,2,6802,88,1,Social Sciences
10.13012/B2IDB-2643961_V1,9/25/2020,2,3373515801,87,2,Life Sciences
10.13012/B2IDB-0818023_V1,9/25/2020,89,32470268767,720,1,Life Sciences
10.13012/B2IDB-8170405_V1,9/18/2020,14,32728855630,212,0,Life Sciences
10.13012/B2IDB-6771049_V1,9/17/2020,4,764219,116,1,Life Sciences
10.13012/B2IDB-6050723_V1,9/14/2020,1,499610,40,0,Life Sciences
10.13012/B2IDB-2224392_V2,9/7/2020,3,2086739686,149,0,Life Sciences
10.13012/B2IDB-3331845_V2,9/2/2020,4,276165,213,4,Social Sciences
10.13012/B2IDB-9851670_V1,8/31/2020,3,890604672,154,1,Life Sciences
10.13012/B2IDB-0095812_V1,8/25/2020,8,6125556726,176,0,Life Sciences
10.13012/B2IDB-6738796_V1,8/22/2020,1,3194567771,246,3,Technology and Engineering
10.13012/B2IDB-0424970_V1,8/21/2020,7,49062445,464,4,Social Sciences
10.13012/B2IDB-0925335_V1,8/19/2020,3,3003439347,153,0,Technology and Engineering
10.13012/B2IDB-4237085_V1,8/18/2020,6,15564901,200,2,Social Sciences
10.13012/B2IDB-2224392_V1,8/11/2020,3,2166274525,80,1,Life Sciences
10.13012/B2IDB-0791318_V1,8/10/2020,1,7202795,53,1,Physical Sciences
10.13012/B2IDB-9374105_V1,8/10/2020,2,1634283,98,1,Social Sciences
10.13012/B2IDB-1255710_V1,8/1/2020,4,2774291,150,0,Physical Sciences
10.13012/B2IDB-6257171_V1,8/1/2020,90,2119991387,860,0,Physical Sciences
10.13012/B2IDB-4470290_V1,8/1/2020,2,114872,200,1,Life Sciences
10.13012/B2IDB-0851257_V1,7/16/2020,1,704605553,162,0,Social Sciences
10.13012/B2IDB-6955387_V1,7/15/2020,2,286450989,111,0,Life Sciences
10.13012/B2IDB-4004605_V1,7/15/2020,11,273793203,293,0,Life Sciences
10.13012/B2IDB-2626814_V3,7/15/2020,15,576743732,310,2,Life Sciences
10.13012/B2IDB-8470827_V1,7/10/2020,6,323654,208,0,Life Sciences
10.13012/B2IDB-7364919_V1,7/1/2020,1,13511191048,102,0,Technology and Engineering
10.13012/B2IDB-0595759_V1,6/30/2020,1,819561,118,1,Life Sciences
10.13012/B2IDB-2774261_V1,6/26/2020,11,3.03E+11,324,2,Physical Sciences
10.13012/B2IDB-2476863_V1,6/19/2020,4,35359492,192,3,Social Sciences
10.13012/B2IDB-9222782_V1,6/12/2020,6,196503,291,2,Social Sciences
10.13012/B2IDB-3968226_V1,6/11/2020,21,3636343868,545,2,Technology and Engineering
